symbol,name,sector,market_value,index_weight,amount_shares,isin,country
MU,MICRON TECHNOLOGY INC,Information Technology,31939897.08,0.1774,285356,US5951121038,United States
PGR,PROGRESSIVE CORP,Financials,31888292.5,0.17711,152030,US7433151039,United States
ETN,EATON PLC,Industrials,31837811.7,0.17683,103055,IE00B8KQN827,United States
ELV,ELEVANCE HEALTH INC,Health Care,31742483.6,0.1763,60440,US0367521038,United States
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,31478394.78,0.17484,9177,US09857L1089,United States
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,31294291.89,0.17381,431464,AU000000CBA7,Australia
SU,SCHNEIDER ELECTRIC,Industrials,31101618.27,0.17274,135539,FR0000121972,France
BP.,BP PLC,Energy,30472007.29,0.16925,4778368,GB0007980591,United Kingdom
ULVR,UNILEVER PLC,Consumer Staples,30309081.22,0.16834,645980,GB00B10RZP78,United Kingdom
LRCX,LAM RESEARCH CORP,Information Technology,30284615.48,0.16821,34069,US5128071082,United States
NKE,NIKE INC CLASS B,Consumer Discretionary,30161450.9,0.16752,315035,US6541061031,United States
T,AT&T INC,Communication,29933053.3,0.16625,1833010,US00206R1023,United States
8035,TOKYO ELECTRON LTD,Information Technology,29415760.71,0.16338,123800,JP3571400005,Japan
MS,MORGAN STANLEY,Financials,29323398.02,0.16287,324877,US6174464486,United States
SYK,STRYKER CORP,Health Care,29062824.75,0.16142,88755,US8636671013,United States
BLK,BLACKROCK INC,Financials,28777028.4,0.15983,38508,US09247X1019,United States
ALV,ALLIANZ,Financials,28556160.34,0.15861,102288,DE0008404005,Germany
C,CITIGROUP INC,Financials,28496260.08,0.15827,488619,US1729674242,United States
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,28293460.31,0.15715,2883900,JP3902900004,Japan
SCHW,CHARLES SCHWAB CORP,Financials,28256655.57,0.15694,387449,US8085131055,United States
DE,DEERE,Industrials,28202640.6,0.15664,70401,US2441991054,United States
OR,LOREAL SA,Consumer Staples,27576717.01,0.15317,61096,FR0000120321,France
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,27286252.69,0.15155,778401,INE002A01018,India
TJX,TJX INC,Consumer Discretionary,27269467.36,0.15146,294296,US8725401090,United States
6758,SONY GROUP CORP,Consumer Discretionary,27232336.3,0.15125,330000,JP3435000009,Japan
MDT,MEDTRONIC PLC,Health Care,27191549.49,0.15103,343371,IE00BTN1Y115,United States
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,26825270.94,0.14899,187931,US9113121068,United States
SAN,SANOFI SA,Health Care,26564194.2,0.14754,292503,FR0000120578,France
TD,TORONTO DOMINION,Financials,26522215.4,0.14731,462684,CA8911605092,Canada
CI,CIGNA,Health Care,26411714.28,0.1467,75726,US1255231003,United States
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,26364340.44,0.14643,67003,US92532F1003,United States
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materials,26292298.44,0.14603,132149,FR0000120073,France
LMT,LOCKHEED MARTIN CORP,Industrials,26292220.23,0.14603,57647,US5398301094,United States
BMY,BRISTOL MYERS SQUIBB,Health Care,25683380.1,0.14265,531747,US1101221083,United States
AIR,AIRBUS GROUP,Industrials,25630071.13,0.14235,149716,NL0000235190,France
MMC,MARSH & MCLENNAN INC,Financials,25620718.65,0.1423,127005,US5717481023,United States
CB,CHUBB LTD,Financials,25585833.74,0.14211,104266,CH0044328745,United States
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,25548578.23,0.1419,105577,US0530151036,United States
SBUX,STARBUCKS CORP,Consumer Discretionary,25343045.7,0.14076,290798,US8552441094,United States
BA,BOEING,Industrials,25322563.65,0.14065,148755,US0970231058,United States
BSX,BOSTON SCIENTIFIC CORP,Health Care,25274207.34,0.14038,374877,US1011371077,United States
PLD,PROLOGIS REIT INC,Real Estate,25086550.63,0.13934,239627,US74340W1036,United States
UBSG,UBS GROUP AG,Financials,24863199.44,0.1381,878641,CH0244767585,Switzerland
REGN,REGENERON PHARMACEUTICALS INC,Health Care,24595452.88,0.13661,27512,US75886F1075,United States
ADI,ANALOG DEVICES INC,Information Technology,23765635.68,0.132,126696,US0326541051,United States
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,23296100.91,0.12939,346823,US6092071058,United States
CVS,CVS HEALTH CORP,Health Care,23195550.42,0.12883,334278,US1266501006,United States
FI,FISERV INC,Financials,23119373.61,0.12841,157371,US3377381088,United States
PANW,PALO ALTO NETWORKS INC,Information Technology,23024803.72,0.12788,81898,US6974351057,United States
KLAC,KLA CORP,Information Technology,22570247.7,0.12536,35035,US4824801009,United States
CSL,CSL LTD,Health Care,22413190.94,0.12449,128355,AU000000CSL8,Australia
BX,BLACKSTONE INC,Financials,22052610.56,0.12248,183283,US09260D1072,United States
CNQ,CANADIAN NATURAL RESOURCES LTD,Energy,21887808.95,0.12157,284465,CA1363851017,Canada
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,21819131.23,0.12119,313324,CA82509L1076,Canada
WM,WASTE MANAGEMENT INC,Industrials,21547730.25,0.11968,105075,US94106L1098,United States
TMUS,T MOBILE US INC,Communication,21524142.75,0.11955,133815,US8725901040,United States
6861,KEYENCE CORP,Information Technology,21471088.12,0.11925,51100,JP3236200006,Japan
GILD,GILEAD SCIENCES INC,Health Care,21460848.48,0.1192,324378,US3755581036,United States
6501,HITACHI LTD,Industrials,21420882.78,0.11898,240800,JP3788600009,Japan
SNPS,SYNOPSYS INC,Information Technology,21361120.42,0.11864,41102,US8716071076,United States
AMT,AMERICAN TOWER REIT CORP,Real Estate,20770173.0,0.11536,121463,US03027X1000,United States
REL,RELX PLC,Industrials,20755225.71,0.11528,500958,GB00B2B0DG97,United Kingdom
GSK,GLAXOSMITHKLINE,Health Care,20611942.34,0.11448,1045896,GB00BN7SWP63,United Kingdom
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,20600059.48,0.11442,7084,US1696561059,United States
RIO,RIO TINTO PLC,Materials,20532778.07,0.11404,307171,GB0007188757,United Kingdom
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,20199978.6,0.11219,70654,US1273871087,United States
RMS,HERMES INTERNATIONAL,Consumer Discretionary,20086789.61,0.11157,8108,FR0000052292,France
SAN,BANCO SANTANDER SA,Financials,20068809.3,0.11147,4144400,ES0113900J37,Spain
ABBN,ABB LTD,Industrials,19973044.07,0.11093,410950,CH0012221716,Switzerland
SO,SOUTHERN,Utilities,19949503.87,0.1108,282691,US8425871071,United States
DGE,DIAGEO PLC,Consumer Staples,19928471.83,0.11069,567219,GB0002374006,United Kingdom
CP,CANADIAN PACIFIC KANSAS CITY LTD,Industrials,19811010.9,0.11003,235756,CA13646K1084,Canada
TGT,TARGET CORP,Consumer Staples,19751723.76,0.1097,118572,US87612E1064,United States
MPC,MARATHON PETROLEUM CORP,Energy,19723347.7,0.10955,101135,US56585A1025,United States
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,19606658.16,0.1089,149692,US45866F1049,United States
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Consumer Discretionary,19599151.96,0.10886,139170,CH0210483332,Switzerland
CME,CME GROUP INC CLASS A,Financials,19508771.1,0.10836,93054,US12572Q1058,United States
SAF,SAFRAN SA,Industrials,19465344.22,0.10811,87742,FR0000073272,France
ITW,ILLINOIS TOOL INC,Industrials,19444571.52,0.108,78144,US4523081093,United States
8058,MITSUBISHI CORP,Industrials,19379324.82,0.10764,864300,JP3898400001,Japan
SHW,SHERWIN WILLIAMS,Materials,19377397.54,0.10763,62633,US8243481061,United States
EOG,EOG RESOURCES INC,Energy,19361209.68,0.10754,146943,US26875P1012,United States
4063,SHIN ETSU CHEMICAL LTD,Materials,19135958.61,0.10628,462400,JP3371200001,Japan
000660,SK HYNIX INC,Information Technology,18976355.15,0.1054,142916,KR7000660001,Korea (South)
IBE,IBERDROLA SA,Utilities,18937031.93,0.10518,1573446,ES0144580Y14,Spain
SLB,SCHLUMBERGER NV,Energy,18854524.08,0.10472,370132,AN8068571086,United States
BNP,BNP PARIBAS SA,Financials,18797798.61,0.10441,269499,FR0000131104,France
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Financials,18632488.28,0.10349,334500,JP3890350006,Japan
DUK,DUKE ENERGY CORP,Utilities,18593536.32,0.10327,193824,US26441C2044,United States
MO,ALTRIA GROUP INC,Consumer Staples,18514253.1,0.10283,448287,US02209S1033,United States
ENB,ENBRIDGE INC,Energy,18498765.9,0.10275,545232,CA29250N1050,Canada
FCX,FREEPORT MCMORAN INC,Materials,18463946.16,0.10255,368101,US35671D8570,United States
MCK,MCKESSON CORP,Health Care,18373656.15,0.10205,35415,US58155Q1031,United States
DTE,DEUTSCHE TELEKOM N AG,Communication,18315329.83,0.10173,820459,DE0005557508,Germany
ZTS,ZOETIS INC CLASS A,Health Care,18292051.7,0.1016,119470,US98978V1035,United States
CNR,CANADIAN NATIONAL RAILWAY,Industrials,18259661.92,0.10142,143436,CA1363751027,Canada
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,18139650.2,0.10075,113302,US0090661010,United States
ZURN,ZURICH INSURANCE GROUP AG,Financials,18130410.04,0.1007,37329,CH0011075394,Switzerland
1299,AIA GROUP LTD,Financials,18123190.17,0.10066,2966200,HK0000069689,Hong Kong
EQIX,EQUINIX REIT INC,Real Estate,18044201.65,0.10022,24389,US29444U7000,United States
ICICIBC,ICICI BANK LTD,Financials,17984096.12,0.09989,1423567,INE090A01021,India
PSX,PHILLIPS,Energy,17844210.83,0.09911,116393,US7185461040,United States
CSX,CSX CORP,Industrials,17828945.26,0.09903,518434,US1264081035,United States
ANET,ARISTA NETWORKS INC,Information Technology,17675382.75,0.09817,68725,US0404131064,United States
PH,PARKER-HANNIFIN CORP,Industrials,17589624.01,0.0977,32689,US7010941042,United States
TDG,TRANSDIGM GROUP INC,Industrials,17479254.0,0.09708,14404,US8936411003,United States
