symbol,name,sector,market_value,index_weight,amount_shares,isin,country
DBREALTY,VALOR ESTATE LTD,Real Estate,1725751.91,0.0023,686899,INE879I01012,India
SAPR4,CIA SANEAMENTO PREF,Utilities,1708888.08,0.00228,1793854,BRSAPRACNPR6,Brazil
249420,IL DONG PHARM LTD,Health Care,1712154.44,0.00228,158724,KR7249420001,Korea (South)
002517,KINGNET NETWORK LTD A,Communication,1705468.85,0.00228,1169900,CNE100000XB5,China
192650,DREAMTEC LTD,Information Technology,1695184.84,0.00226,245766,KR7192650000,Korea (South)
300604,HANGZHOU CHANG CHUAN TECHNOLOGY LT,Information Technology,1692346.89,0.00226,452126,CNE100002Q09,China
002624,PERFECT WORLD LTD A,Communication,1692743.34,0.00226,1228586,CNE1000018W6,China
TRGYO.E,TORUNLAR GAYRIMENKUL YATIRIM ORTAK,Real Estate,1678450.94,0.00224,1207255,TRETRGY00018,Turkey
3990,MIDEA REAL ESTATE HOLDING LTD,Real Estate,1670629.19,0.00223,3594400,KYG609201085,China
300724,SHENZHEN S.C NEW ENERGY TECHNOLOGY,Information Technology,1670569.74,0.00223,206000,CNE100003G91,China
300957,YUNNAN BOTANEE BIO-TECHNOLOGY GROU,Consumer Staples,1669201.59,0.00223,214400,CNE100004G74,China
049770,DONGWON F&B LTD,Consumer Staples,1666379.33,0.00222,59970,KR7049770001,Korea (South)
900901,INESA INTELLIGENT TECH INC B,Information Technology,1661641.42,0.00222,2977852,CNE0000002N1,China
002409,JIANGSU YOKE TECHNOLOGY LTD A,Materials,1656774.1,0.00221,208700,CNE100000PG0,China
395400,SK REITS LTD,Real Estate,1654043.58,0.00221,566314,KR7395400005,Korea (South)
016380,KG DONGBUSTEEL(1P LTD,Materials,1644855.06,0.0022,325404,KR7016380008,Korea (South)
CAN,CANAAN ADR REPRESENTING  CLASS A I,Information Technology,1637863.57,0.00219,1780093,US1347481020,China
KSL.R,KHON KAEN SUGAR INDUSTRY NON-VOTIN,Consumer Staples,1641203.11,0.00219,26009886,TH0828010R12,Thailand
ORIENTCEM,ORIENT CEMENT LTD,Materials,1630864.26,0.00218,694989,INE876N01018,India
603737,SKSHU PAINT CO LTD A,Materials,1634801.65,0.00218,387748,CNE1000027D7,China
4927,APEX INTERNATIONAL LTD,Information Technology,1620519.08,0.00216,1327000,KYG0407M1033,Taiwan
4551,GLOBAL PMX LTD,Consumer Discretionary,1620008.97,0.00216,524000,TW0004551007,Taiwan
601928,JIANGSU PHOENIX PUBLISHING&MEDIA C,Communication,1602026.84,0.00214,1031600,CNE1000019Q6,China
310210,VORONOI INC,Health Care,1594590.77,0.00213,72734,KR7310210000,Korea (South)
214370,CAREGEN LTD,Health Care,1589885.28,0.00212,106740,KR7214370009,Korea (South)
002444,HANG ZHOU GREAT STAR INDUSTRIAL LT,Consumer Discretionary,1580853.99,0.00211,431400,CNE100000RC5,China
TI,TILAKNAGAR INDUSTRIES LTD,Consumer Staples,1559051.99,0.00208,568666,INE133E01013,India
9666,JINKE SMART SERVICES GROUP CLASS H,Real Estate,1542284.73,0.00206,1416000,CNE1000048F8,China
200130,KOLMARBNH LTD,Consumer Staples,1542678.2,0.00206,136823,KR7200130003,Korea (South)
601615,MING YANG SMART ENERGY GROUP LTD A,Industrials,1543325.75,0.00206,1232400,CNE100003HQ0,China
600763,TOPCHOICE MEDICAL CORPORATION INC,Health Care,1546121.83,0.00206,205999,CNE000000MZ8,China
MANINFRA,MAN INFRACONSTRUCTION LTD,Industrials,1532573.9,0.00205,610736,INE949H01023,India
CEB,CEBU AIR INC,Industrials,1527377.4,0.00204,3124730,PHY1234G1032,Philippines
2500,VENUS MEDTECH HANGZHOU INC H,Health Care,1528349.73,0.00204,2600500,CNE100003PJ8,China
